页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,4974436558045552,我是壹哥,2023/12/2 09:45,市场选择  1.ai+ 2.消费降级  这二个方向，年底既是消费旺季又是文娱旺季，今年消费方向是降级，文娱方向数据最劲爆是短剧，能频频有爆款  另一个核心是经济继续下行，上面二个方向不受经济影响  短视频，ai电商，游戏，传媒，教育，这些方向是最近我的重点方向  预计经济下行要持续到25年底 ,2,7,34,广东,汕头,广东,中国
2,4974466054228779,我懒得去猜,2023/12/2 11:43,最近一直在乱买…够了 被姐姐们追着骂 好了我真的要消费降级了…虽然没有升级过 一直抠抠搜搜花了好多钱 笑死我了 #消费降级# ,0,1,0,江苏,常州,江苏,中国
2,4974465429013261,智子-瑜伽创业导师,2023/12/2 11:40,经济低迷，消费降级，在这样蕴藏着危与机的当下，做好明年的规划才能不被时代抛下，2024年如何让自己的瑜伽馆脱颖而出『跟我说的做，馆主轻松做』瑜伽#未来瑜伽行业发展趋势#女性创业#一分钟干货教学# 智子-瑜伽创业导师的微博视频 ,0,0,0,福建,漳州,福建,中国
2,4974198496431460,我是李李翔,2023/12/1 18:00,消费降级，自己动手。 ,2,8,26,江西,南昌,江西,中国
2,4974463910677898,即使是内部没有气泡的布丁,2023/12/2 11:34,消费降级以后感觉在哪里都没啥要买，以前润唇膏一买五只每个包放一只，现在一罐凡士林陪我去下个宇宙了 ,0,0,3,广东,广州,广东,中国
2,4974463162778536,uni-a-o-yi,2023/12/2 11:31,最近在看怎么消费降级。例如一些产品挂上一些tag就会增值：酒👉女性友好甜酒。不锈钢盆👉宠物不锈钢食碗。本质还是酒和盆嘛。刚刚去名创优品买压缩毛巾都觉得好贵的程度。上次有这种消费观还是独居自己做饭意识到一顿饭能有多便宜，真正吃饭饿不死，用洗衣粉代替洗衣液，硫磺皂代替香皂，单单活着的成本其实很低。,0,0,0,黑龙江,哈尔滨,黑龙江,中国
2,4974460847263951,刘浩存确实好看,2023/12/2 11:22,想起为了照顾某死人那该死的自尊心，买衣服只能去逛逛三福以纯的时候，哈哈…跟他在一起我消费不知道降级多少，佩服自己还闭着眼睛瞎一样 ,0,0,0,湖南,长沙,湖南,中国
2,4974459699596951,并不是每个estrella都是安智慧,2023/12/2 11:17,好久没更新的微博 一点生活碎片 消费降级最明显表现之 如果不是19年买的围巾 现在的我肯定不会买 济南 ,0,0,0,山东,济南,山东,中国
2,4974172560427668,全是聊天表情包,2023/12/1 16:16,消费降级后，越发感谢当年虚荣的自己 ,1,2,37,安徽,亳州,安徽,中国
2,4974457272141674,我才是大魔王18,2023/12/2 11:08,#如何看待拼多多市值超阿里#拿眼睛看呀还能怎么看？这两家也不是我家的生意，谁比谁市值高甚至背后什么消费升级降级和我有毛关系呀？！懒得看这些东西，浪费时间和精力，且完全没必要。 ,0,0,1,北京,,北京,中国